Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Bulgaria,BGR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1059441,1.1300704,0.443343206,0.271087759,0.13643755,0,0,0,0
Bahrain,BHR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Bahamas,BHS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,BIH,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,BLR,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize,BLZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda,BMU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,BOL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,78,78,73.1,69.92,69.92,72.0426,64.62645,76.2804,55.44455,72.7489,136.3159,168.8057,175.8687,279.34165,361.6256,381.402,408.9477,416.36385,345.73385,411.41975,470.3958,519.8368,604.23965,628.67763,621.544,570.6555173,546.1118008,495.7972887,422.8253333,432.0786045,431.5076011,356.956034,276.0328327,220.1861815
Brazil,BRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7735265246386,11.02878081,1.297107158,3.139070248,0.064886934,17.95601896,4.667695374,2.780632118,0,0,2.88232111,0.04375496,3.573937774,0
Barbados,BRB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei,BRN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268,247,251,263.80305,272.63,295.94,297.70545,293.1145,288.1704,296.99915,310.41885,317.835,324.1917,341.49605,335.4925,323.13225,346.44015,330.159935,324.898,311.12515,311.83145,332.6673,313.5972,326.3106,276.1633,300.8838,283.4030235,316.1221297,295.0792836,306.7088133,293.4406703,264.6291784,232.8892273,220.8873828,227.0774591
