Country,Code,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Asia & Oceania,ASOC,,,,,,,,,,,,543.2,554.9,578.7,608.8,601.1,652.1,680.5,696.3,706.576,727.061,768.25,771.383,822.152,853.556,821.286,807.942,824.756,823.044,796.788,830.538,825.861,787.438,825.163,810.59,812.716,794.128,803.4,808.85,819.937,809.448,822.046,851.074,835.727,,,,,,,,
Australia,AUS,,,,,,,,,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
Austria,AUT,,,,,,,,,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
Belgium,BEL,,,,,,,,,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
Canada,CAN,140,145,174,153,167,144,150,164,161,136,121,128.659,112.215,110.873,128.433,118.522,118.421,143.124,139.815,126.507,127.902,142.106,132.136,127.04,144.004,139.269,141.448,143.025,154.495,154.712,165.321,153.83,167.671,168.538,162.916,161.834,156.924,183.69,177.951,174.257,169.991,193.117,188.367,183.316,189.207,192.254,180.005,202.252,203.283,202.471,199.173,195.734
Switzerland,CHE,,,,,,,,,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
Chile,CHL,,,,,,,,,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
Central & South America,CSAM,,,,,,,,1392.228,1483.648,1429.924,1453.637,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.403,8.403,8.403,8.403,8.403,8.403,8.403,8.403,8.403,8.403,8.403,8.403,8.403,8.403,8.785,10.898,8.888,11.138,11.019,9.869,8.94,9.834,9.883,11.302,11.235,1906.0509487,1923.6272165,,,,,,
Former Czechoslovakia,CSK,--,--,--,--,--,--,--,--,--,--,--,w,w,w,w,w,w,w,w,w,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Czechia,CZE,,,,,,,,,,,,--,--,--,--,--,--,--,--,--,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
