Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Aruba,ABW,--,--,--,--,--,--,,,,,,,,,,,,,,
Africa,AFRC,327.209,254.131,252.014,252.746,273.803,286.489,282.728,280.336,298.871,318.77,343.458,355.412,360.531,354.552,354.932,369.183,379.824,391.979,390.389,386.078
Angola,AGO,8.069,6.986,6.557,9.508,11.197,12.383,15.131,19.318,24.311,24.412,25.471,26.833,28.296,27.312,28.75,34.651,38.131,38.308,39.443,39.972
Albania,ALB,2.561,2.547,3.707,4.363,3.203,3.203,3.203,3.127,2.572,2.724,1.74,1.11,0.63,0.63,0.63,0.58,0.555,0.53,0.353,0.328
United Arab Emirates,ARE,91.302,78.532,66.603,61.207,61.232,63.552,70.865,82.113,83.601,99.086,112.779,127.129,121.051,115.024,116.84,118.958,121.707,123.397,124.935,115.554
Argentina,ARG,27.16,27.363,27.085,27.085,26.43,25.37,23.933,23.605,24.841,25.37,26.657,26.757,30.591,32.76,35.861,39.443,41.813,45.999,46.731,44.234
Armenia,ARM,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,
Asia & Oceania,ASOC,260.812,258.52,250.096,265.354,289.793,306.787,318.87,318.238,325.123,333.899,344.642,354.882,353.622,356.068,363.657,375.386,385.196,390.516,390.717,390.795
Australia,AUS,19.842,20.528,19.267,21.361,25.32,29.531,26.707,28.094,27.69,25.169,29.531,27.993,27.539,25.824,27.514,28.851,29.355,30.187,27.943,27.665
Austria,AUT,1.567,1.387,1.437,1.387,1.286,1.211,1.211,1.16,1.286,1.286,1.211,1.437,1.286,1.211,1.16,1.286,1.16,1.059,1.16,1.009
Azerbaijan,AZE,--,--,--,--,--,--,--,--,--,--,--,--,11.55,10.819,9.962,9.482,9.558,9.356,12.458,14.93
Benin,BEN,,,,0.227,0.404,0.454,0.454,0.404,0.277,0.227,0.227,0.227,0.328,0.328,0.328,0.177,0.101,0.076,0.05,0.05
Bangladesh,BGD,,,,0.011,0.021,0.025,0.025,0.025,0.025,0.025,0.05,0.025,0.05,0.05,0.076,0.05,0.076,0.076,0.076,0.076
Bulgaria,BGR,0.163,0.151,0.151,0.151,0.227,0.328,0.328,0.328,0.227,0.277,0.227,0.076,0.05,0.05,0.05,0.05,0.05,0.025,0.05,0.05
Bahrain,BHR,2.597,2.497,2.371,2.27,2.219,2.27,2.371,2.27,2.345,2.32,2.27,2.068,2.018,2.219,2.219,2.219,1.891,2.169,2.068,1.992
Bosnia and Herzegovina,BIH,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,
Belarus,BLR,--,--,--,--,--,--,--,--,--,--,--,--,2.169,2.169,2.169,2.068,1.942,1.942,1.942,1.992
Bolivia,BOL,1.389,1.135,1.236,1.135,1.084,1.034,0.933,0.984,0.984,1.034,1.084,1.084,1.084,1.135,1.185,1.437,1.538,1.488,1.791,1.589
Brazil,BRA,9.928,11.576,14.148,18.435,25.9,30.692,31.12,30.792,30.212,32.432,34.323,34.273,34.147,34.979,36.492,37.803,43.377,45.747,52.708,61.585
Barbados,BRB,,,0.05,0.05,0.101,0.101,0.101,0.076,0.076,0.05,0.076,0.076,0.076,0.076,0.076,0.076,0.05,0.05,0.076,0.101
Brunei,BRN,12.722,8.801,8.322,8.751,8.65,8.272,8.953,7.515,7.414,7.137,8.095,8.701,8.928,8.902,9.028,8.801,8.398,8.65,8.474,9.835
Canada,CAN,76.955,68.722,67.965,72.53,77.12,78.658,78.835,82.088,86.653,83.425,83.046,82.794,86.073,89.805,93.386,96.538,98.505,102.793,105.945,101.986
Chile,CHL,1.761,2.169,2.295,2.068,2.018,1.917,1.639,1.589,1.286,1.16,1.059,0.908,0.807,0.757,0.63,0.58,0.479,0.404,0.429,0.404
China,CHN,114.714,108.871,110.661,114.721,124.582,135.552,141.781,145.564,148.137,149.196,150.129,153.407,154.391,156.383,159.056,161.805,169.901,173.179,173.053,172.902
Ivory Coast,CIV,0.054,0.378,0.479,1.261,1.463,1.513,1.084,0.984,0.656,0.101,0.101,0.101,0.076,0.025,0.378,0.429,0.883,1.034,1.084,0.807
Cameroon,CMR,3.184,4.766,5.977,6.229,7.414,10.138,9.684,9.533,8.953,9.306,8.827,8.373,7.692,6.96,5.901,6.078,5.926,6.784,6.633,5.473
Congo-Kinshasa,COD,1.085,1.084,1.236,1.362,1.74,1.791,1.74,1.74,1.639,1.513,1.564,1.513,1.412,1.362,1.412,1.614,1.639,1.513,1.412,1.185
Congo-Brazzaville,COG,3.468,4.413,4.741,4.64,6.456,6.38,6.33,6.532,7.692,8.726,8.776,8.297,9.281,9.634,9.583,10.012,10.718,13.467,14.097,14.375
Colombia,COL,7.005,6.935,7.818,8.423,9.331,9.76,16.922,21.335,21.007,22.344,24.387,23.227,24.084,25.269,24.942,32.432,34.626,36.139,40.628,45.243
