Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Aruba,ABW,--,--,--,--,--,--,,,,,,,,,,,,,,
Africa,AFRC,4.069,4.489,5.246,4.969,7.314,7.188,7.919,8.55,9.105,9.735,9.735,10.416,9.003,9.86,9.633,9.734,10.44,11.878,12.609,14.502
United Arab Emirates,ARE,1.464,2.497,3.758,5.019,5.447,6.683,7.717,6.053,5.447,5.422,5.624,6.103,6.027,6.103,6.254,6.683,6.683,6.683,7.087,6.683
Argentina,ARG,0.458,0.429,0.429,0.277,0.53,0.706,1.084,1.261,1.236,0.958,0.958,1.059,1.059,1.236,1.538,1.488,1.564,1.69,1.765,1.69
Armenia,ARM,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,
Asia & Oceania,ASOC,6.454,7.138,6.381,6.935,6.532,6.077,5.397,5.549,5.85,7.137,7.365,7.29,8.095,8.651,9.71,10.291,11.979,14.803,17.401,17.376
Australia,AUS,2.376,2.371,2.043,2.043,2.144,2.572,2.371,2.572,2.648,2.572,2.497,2.421,2.219,2.169,2.219,2.043,2.446,2.799,2.774,2.85
Austria,AUT,0.039,0.05,0.05,0.05,0.05,0.05,0.05,0.023,0.05,0.05,0.05,0.05,0.025,0.025,0.025,0.025,0.05,0.025,0.025,0.05
Azerbaijan,AZE,--,--,--,--,--,--,--,--,--,--,--,--,0.353,0.303,0.303,0.277,0.227,0.277,0.277,0.277
Bangladesh,BGD,,,,,,0.011,0.011,0.011,0.011,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007
Bahrain,BHR,0.317,0.328,0.328,0.353,0.353,0.227,0.328,0.353,0.353,0.328,0.202,0.202,0.277,0.479,0.504,0.404,0.404,0.429,0.404,0.429
Bosnia and Herzegovina,BIH,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,
Belarus,BLR,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,
Bolivia,BOL,0.191,0.151,0.227,0.227,0.227,0.227,0.202,0.151,0.202,0.202,0.202,0.202,0.277,0.277,0.277,0.227,0.252,0.328,0.328,0.328
Brazil,BRA,0.235,0.277,0.303,0.429,0.58,0.656,0.782,0.984,0.984,0.857,0.782,0.857,0.984,0.984,1.362,1.564,1.362,1.185,1.362,1.286
Brunei,BRN,1.455,1.034,1.034,1.034,0.63,0.63,0.63,0.454,0.454,0.404,0.404,0.404,0.504,0.53,0.53,0.53,0.454,0.63,0.908,0.908
Canada,CAN,12.16,12.08,11.651,11.323,12.332,12.357,12.004,13.442,13.997,15.031,15.611,15.787,16.897,18.536,19.368,21.285,21.89,23.302,23.857,23.933
Chile,CHL,0.46,0.378,0.378,0.378,0.429,0.429,0.378,0.378,0.378,0.378,0.454,0.429,0.429,0.454,0.454,0.504,0.454,0.277,0.202,0.177
Congo-Brazzaville,COG,,,,,,,,,,,,,,,,,,0.479,0.479,0.53
Colombia,COL,0.182,0.177,0.177,0.126,0.126,0.126,0.151,0.177,0.126,0.252,0.252,0.177,0.177,0.151,0.151,0.151,0.303,0.126,0.126,0.151
Central & South America,CSAM,3.977,3.707,4.011,3.631,4.111,4.565,6.355,6.583,6.709,6.808,7.061,7.364,7.617,9.028,9.809,10.113,10.239,9.684,9.937,10.945
Former Czechoslovakia,CSK,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,--,--,--,--,--,--,--
Cuba,CUB,0.04,0.05,0.05,0.05,0.05,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.101,0.101,0.076
Czechia,CZE,--,--,--,--,--,--,--,--,--,--,--,--,--,0.003,0.004,,0.004,0.009,0.009,0.009
East,DDR,,,,,,,,,,,,--,--,--,--,--,--,--,--,--
Germany,DEU,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,
West,DEUW,,,,,,,,,,,,--,--,--,--,--,--,--,--,--
Algeria,DZA,1.688,2.295,2.724,2.623,4.691,4.918,5.624,6.078,6.103,6.078,6.305,6.557,6.557,6.784,6.557,6.784,7.036,7.49,8.171,9.81
Ecuador,ECU,0.078,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.126,0.151,0.126,0.126,0.151,0.126,0.151,0.151
Egypt,EGY,0.775,0.782,0.908,1.135,1.135,1.236,1.084,1.135,1.589,2.043,1.816,2.043,0.63,0.807,0.807,0.857,0.958,1.034,1.084,1.362
Eritrea,ERI,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,
Spain,ESP,,,,,,,0.277,0.252,0.277,0.353,0.429,0.429,0.378,0.252,0.151,0.151,0,0,0,0
Estonia,EST,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,
European Union,EU27,4.565,4.816,5.774,7.237,8.297,8.751,9.18,9.356,9.28,8.297,6.835,7.921,8.904,9.029,11.324,13.214,12.938,11.878,12.206,12.104
Eurasia,EURA,10.917,11.449,12.029,12.61,13.013,13.366,16.796,16.418,17.25,16.241,16.241,16.039,11.676,11.577,10.92,10.491,10.946,11.475,12.357,12.635
