Country,Code,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Brunei,BRN,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Bhutan,BTN,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Botswana,BWA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,NA,NA,NA,NA,NA,NA
Central African Republic,CAF,,,0.02438,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0.3,0.4,0.4,0.4,0.3,0.6,0,0,NA,NA,NA,NA,NA,NA
Canada,CAN,2.3,1.6,1.5,2.6,2.9,3.6,3.3,3,2.1,1.8,2,2.3,2.2,1.7,3.6,3.5,3.6,3.6,3.4,3.2,2.9,2.4,1.7,1.4,0.9,NA,NA,NA,NA,NA,NA
Switzerland,CHE,0,0,0,0.2,0.3,0.4,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA
Chile,CHL,,,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.2,0,0,0,0,0.086666666666666,0.1,14,0,0,NA,NA,NA,NA,NA,NA
China,CHN,,,0,0,0,0,0,0,0,0,12,14,16,13,6.9,8.9,11,4.7,12,11,12,4.8,14,5.6,5.3,5.7,NA,NA,NA,NA,NA
Ivory Coast,CIV,,,1.3,1.5,1.5,1.5,1.4,1.7,0.1,1.7,1.8,1.9,0.2,0.3,0.3,0.3,0.3,0.3,0.3,2.3,2.2,1.8,2.2,1.2,0.9,NA,NA,NA,NA,NA,NA
Cameroon,CMR,,,1.1,1.2,1.1,1.1,1.1,0.3,0,0.3,0.4,0.4,0.4,1.6,1.6,1.6,0.4,0.4,0.4,1.9,1.8,0.2,2.2,0.9,0.9,NA,NA,NA,NA,NA,NA
Congo-Kinshasa,COD,,,2.5,2.5,2.3,2.3,2.2,2.3,0,2.3,2.4,2.6,2.4,2.5,2.5,2.5,0,0,0,0,2.6,2.5,2.6,0,0,NA,NA,NA,NA,NA,NA
Congo-Brazzaville,COG,,,0.02438,0.06783,0.06765,0.06783,0.02438,0.02438,0.02038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.9,NA,NA,NA,NA,NA,NA
Cook Islands,COK,,,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0,NA,NA,NA,NA,NA,NA
Colombia,COL,,,1.7,3,2.8,1.8,1.8,2.2,2.1,2,2,2,3,3.4,3.6,3.2,3.2,4,4.1,18,18,14,17,7.5,7.6,8.5,NA,NA,NA,NA,NA
Comoros,COM,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Cabo Verde,CPV,,,0.2,0.2,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.2,0.2,0.3,NA,NA,NA,NA,NA,NA
Costa Rica,CRI,,,0,0,0.0642,0,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Central & South America,CSAM,,,41.3,45.3,55.1,51.9,48.1,61.3,36,69.7,76.8,71,87.2,72.4,98.8,94.7,58.1,57.6,58.3,109.3,131.4,115.9,166.3,57.4,47.3,24.1,NA,NA,NA,NA,NA
Former Czechoslovakia,CSK,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Cuba,CUB,,,2.4,2.1,2.3,2.5,1.7,1.7,0.3,1.3,1.2,1.2,1.3,1.5,6.2,6.2,0.3,0.3,0.3,3.8,5,1.8,3,0.3,0.3,NA,NA,NA,NA,NA,NA
Cayman Islands,CYM,,,0,0.02172,0.3,0.3,0.2,0.1,0,0,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.3,0.5,0,0,NA,NA,NA,NA,NA,NA
Cyprus,CYP,,,0.3,2.3,0.3,0.6,5.6,4.6,0.4,0.3,5.4,5.9,6.3,5.9,6.3,6.6,1,1,0.7,7.2,7,6.5,8.7,2.1,1.8,NA,NA,NA,NA,NA,NA
Czechia,CZE,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
East,DDR,5.1,3.8,3.7,3.8,4.4,4.1,0.9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Germany,DEU,--,--,--,--,--,--,--,9.9,10,11,11,11,14,14,11,11,11,10,11,11,9.2,9,11,12,9.8,NA,NA,NA,NA,NA,NA
West,DEUW,12,15,15,12,9,8.9,11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Djibouti,DJI,,,0.8,0.8,0.8,2.6,2.3,2.3,0.9,2.3,2.3,2.4,2.4,2.5,2.5,2.5,2.5,2.5,2.5,2.8,3,2.2,2.8,0.6,0.6,NA,NA,NA,NA,NA,NA
Dominica,DMA,,,0.02438,0.02438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Denmark,DNK,3.9,3.8,3.8,4.2,4.7,4.9,5.6,6,8.1,9.2,12,13,14,12,16,12,10,9.8,10,10,7.7,6.3,6.3,5.2,6.4,NA,NA,NA,NA,NA,NA
Dominican Republic,DOM,,,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,2,0,2.1,0,0,NA,NA,NA,NA,NA,NA
Algeria,DZA,,,10,5.2,5.1,5.1,5,5.5,2.2,5.9,7,8.3,8.3,8.5,7.4,7.3,1.4,1.1,1.3,1.3,5.9,4.9,8.9,1.1,1.1,NA,NA,NA,NA,NA,NA
Ecuador,ECU,,,0.2,1,0,0.3,1.3,1.7,2.4,1.2,2.5,1,1.6,0.5,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Egypt,EGY,,,8.4,10,7.9,11,12,9.4,9.4,12,9,9.1,11,11,12,12,4.1,4.1,14,14,19,11,19,3.3,2.4,1.9,NA,NA,NA,NA,NA
Eritrea,ERI,,,--,--,--,--,--,--,--,--,1.3,1.1,1.3,1.3,1.4,1.4,0,0,0,0,0,0,0.3,0,0,NA,NA,NA,NA,NA,NA
Western Sahara,ESH,,,0.09221,0.04345,0.09196,0.09221,0.09221,0.09221,0,0.09221,0.09221,0.09221,0.09196,0.09221,0.09221,0.0922191780821918,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0,0,NA,NA,NA,NA,NA,NA
Spain,ESP,13,19,20,26,30,21,25,24,27,15,14,16,24,32,24,24,20,21,20,19,19,20,22,23,30,NA,NA,NA,NA,NA,NA
Estonia,EST,,,--,--,--,--,--,--,0.6,0.9,0.7,0.8,0.7,0.6,0.6,1.1,0.9,0.9,1,0.9,1.6,1.5,1.5,0.6,0.4,NA,NA,NA,NA,NA,NA
Ethiopia,ETH,,,0.2,0.2,1.2,1.3,1.3,1.3,0.1,1.3,0.07386,0.2,0.2,0.2,0.2,0.2,0,0,0,0,2.1,2.1,3.3,0,0,NA,NA,NA,NA,NA,NA
European Union,EU27,126.5,137.6,150.4,150.8,150,143.3,153.4,149.8,155.3407650273,138.5,144.5,162.3,169.1,180.7,183,173.7,160,155.9,156.1,158.5,151.1,145.3,154.9,121.88175342464,125.5,0.1,,,,,
Eurasia,EURA,,,0,0,0,0,0,0,3.5,0,0,0,33.1,98.6,95.6,95.7,76.4,96.4,90.6,283.3,295.2866666666667,254.28690410958905,144.58690410958903,1.5,1.2,,,,,,
Europe,EURO,148.5,163.7,180,172.8,176.2,175.1,184,184.3,189.1407650273,170.7,178.1,196.7,204.7,219.1,227.1,213.3,199.5,189.5,194.1,195.5,190.8,182.5,191.94345205479453,151.98175342464,149.5,0.1,,,,,
Finland,FIN,2,1.4,1.6,1.8,1.9,2.2,2.5,2.3,2.7,2.9,3,0,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Fiji,FJI,,,0.2,2.1,2,2.4,2.4,2,0.4,1,1,1,0.9,1,0.8,0.4,0.8,0.8,0.6,1.4,1.6,1.4,1.3,1.3,1.1,NA,NA,NA,NA,NA,NA
Falkland Islands,FLK,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
France,FRA,6.6,6.5,8.2,6.4,6.7,7.8,8.5,8,8.2,7.8,5.6,6,7.4,9.5,8.6,9.5,11,9.1,7.9,9.9,9.3,9.3,5.2,4.6,4.6,NA,NA,NA,NA,NA,NA
Faroe Islands,FRO,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0434520547945205,0,0,NA,NA,NA,NA,NA,NA
Gabon,GAB,,,0.6,1.1,1.1,1.1,1.1,1.9,1.1,1.2,1.3,1.9,2.1,1.8,1.9,1.9,0,0,1.2,2.2,2.2,1.6,2.3,1,1.2,NA,NA,NA,NA,NA,NA
United Kingdom,GBR,20,24,24,16,19,25,23,26,26,24,25,23,24,24,29,24,23,22,23,19,22,18,21,18,14,NA,NA,NA,NA,NA,NA
Georgia,GEO,,,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.4,0.8,0,0,NA,NA,NA,NA,NA,NA
Ghana,GHA,,,0.9,1,0.9,0.8,0.9,0.9,0.8,0.5,0.5,1.1,1.1,0.5,1.2,1.1,0,0,0,2,2.4,2,3.4,0.9,1.2,NA,NA,NA,NA,NA,NA
Gibraltar,GIB,,,0.9,1,1.3,1.3,1.3,1.4,2.2,2.3,2.1,2.2,2.2,2.1,2.3,2.2,4,2.6,2.6,2.8,2.9,2.8,3,3,3.1,NA,NA,NA,NA,NA,NA
Guinea,GIN,,,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0,0,NA,NA,NA,NA,NA,NA
Guadeloupe,GLP,,,0.09753,0.09753,0.09726,0.09753,2,2.1,1.7,1.6,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.8,1.8,1.9,2.2,2,2.3,0,0,NA,NA,NA,NA,NA,NA
The,GMB,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Guinea-Bissau,GNB,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0,0,NA,NA,NA,NA,NA,NA
Equatorial Guinea,GNQ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Greece,GRC,5.1,7.4,8.1,8.2,8.9,8.1,11,11,15,16,17,21,17,17,16,15,16,13,12,11,11,8.4,8.7,8.5,7.4,NA,NA,NA,NA,NA,NA
Grenada,GRD,,,0,0.02438,0.02431,0.02438,0.02438,0.02438,0,0.04876,0.04876,0.04876,0.04863,0.04876,0.04876,0.0487671232876712,0.0486338797814208,0.0487671232876712,0.0487671232876712,0.0731506849315069,0.2,0.2,0.2,0,0,NA,NA,NA,NA,NA,NA
Greenland,GRL,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.1,NA,NA,NA,NA,NA,NA
Guatemala,GTM,,,2.4,2.7,2.5,2.8,2.9,3,2.4,2.5,2.5,2.5,0,2.5,2.5,2.5,2.4,2.5,2.5,2.5,3.4,2.5,3.3,2.5,2.5,NA,NA,NA,NA,NA,NA
French Guiana,GUF,,,0,0,0.02431,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0828169398907104,0.2,0.4,0,0,NA,NA,NA,NA,NA,NA
Guam,GUM,,,1,0.5,0.5,1.4,1.4,1.4,1.2,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.4,1.4,0,NA,NA,NA,NA,NA,NA
Guyana,GUY,,,0.0869,0.0869,0.08666,0.0869,0.0869,0.0869,0,0.2,0.2,0,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0,NA,NA,NA,NA,NA,NA
Hawaiian Trade Zone,HITZ,,,21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Hong Kong,HKG,,,31,26,38,40,32,38,7.5,59,60,72,72,74,84,84,27,23,75,115,132,84,126,43,25,NA,NA,NA,NA,NA,NA
Honduras,HND,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.6,0,0,NA,NA,NA,NA,NA,NA
Croatia,HRV,,,--,--,--,--,--,--,0,0,0.3,0.2,1.6,1.4,1.6,1.6,0.1,0.3,0.2,0.1,0.8,0.8,1,0.08175342464,0,NA,NA,NA,NA,NA,NA
Haiti,HTI,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.1,0.2,0.2,0.3,0.3,0.3,0,0,0,0,0.5,0.5,0.5,0,0,NA,NA,NA,NA,NA,NA
Hungary,HUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Indonesia,IDN,,,2.3,3,4.1,7.2,10,4.9,11,11,11,13,16,16,16,16,17,1.5,12,16,17,17,21,6.7,7.2,1.5,NA,NA,NA,NA,NA
India,IND,,,13,15,17,16,15,15,1.4,14,14,14,14,18,26,26,19,4.4,15,14,14,17,54,0.3,0,NA,NA,NA,NA,NA,NA
Ireland,IRL,0.4,0.3,0.2,0.2,0.3,0.2,0.3,0.2,0.0407650273,0.3,0.4,1.5,2,2.1,2.2,2.3,2.3,2.6,2,2.2,2.1,1.7,1.5,0.9,0.8,NA,NA,NA,NA,NA,NA
Iran,IRN,,,4.2,5.2,5.8,6.5,1.4,1.6,1.8,2,1.6,2,2.2,2,2,2,2.3,2.4,21,23,19,17,22,0,0,NA,NA,NA,NA,NA,NA
Iraq,IRQ,,,0.09753,0.1,0.1,0.1,0.09753,0,0,0,0,0,0,0,0,0,0,0,0,8.8,8.8,7.1,17,0,0,NA,NA,NA,NA,NA,NA
Iceland,ISL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Israel,ISR,,,6.6,2.4,2.2,2.5,2.5,2.9,0,11,9.4,10,8.8,1.7,1.4,1.2,1.2,0.9,1.6,1.4,1,2,0.8,0.7,0.7,NA,NA,NA,NA,NA,NA
Italy,ITA,13,14,16,15,14,15,14,13,13,12,12,13,13,15,20,19,16,16,15,15,15,14,13,9.7,13,NA,NA,NA,NA,NA,NA
