Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Aruba,ABW,--,--,--,--,--,--,,,,,,,,,,,,,,
Africa,AFRC,170238.292,187799.95,219451.627,207846.013,305966.211,300690.932,331287.553,357663.951,380875.18,407251.577,407251.577,435738.087,379820.125,412526.857,403031.354,409361.69,438903.254,499041.441,529638.063,608767.255
United Arab Emirates,ARE,61251.186,104450.534,157203.329,209956.124,227892.074,279589.814,322847.105,253213.416,227892.074,226837.019,235277.466,255323.528,252158.36,255323.528,261653.863,279589.814,279589.814,279589.814,296470.708,279589.814
Argentina,ARG,19176.232,17935.95,17935.95,11605.615,22156.174,29541.565,45367.404,52752.795,51697.739,40092.124,40092.124,44312.348,44312.348,51697.739,64358.41,62248.298,65413.466,70688.745,73853.913,70688.745
Armenia,ARM,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,
Asia & Oceania,ASOC,276238.523,303856.1,272204.423,297525.765,279589.815,260598.809,228947.133,235277.467,248993.194,303856.098,311241.49,311241.49,339728,362939.229,407251.577,430462.807,502206.608,619317.814,727988.572,726933.514
Australia,AUS,99395.128,99175.255,85459.528,85459.528,89679.752,107615.702,99175.255,107615.702,110780.87,107615.702,104450.534,101285.366,92844.919,90734.807,92844.919,85459.528,102340.422,117111.205,116056.149,119221.317
Austria,AUT,1650.407,2110.112,2110.112,2110.112,2110.112,2110.112,2110.112,981.3,2110.112,2110.112,2110.112,2110.112,1055.056,1055.056,1055.056,1055.056,2110.112,1055.056,1055.056,2110.112
Azerbaijan,AZE,--,--,--,--,--,--,--,--,--,--,--,--,14770.783,12660.671,12660.671,11605.615,9495.503,11605.615,11605.615,11605.615
Bangladesh,BGD,,,,,,467.891,467.891,467.891,469.173,311.927,311.927,311.927,312.782,311.927,311.927,311.927,312.782,311.927,311.927,311.927
Bahrain,BHR,13246.505,13715.727,13715.727,14770.783,14770.783,9495.503,13715.727,14770.783,14770.783,13715.727,8440.447,8440.447,11605.615,20046.062,21101.118,16880.894,16880.894,17935.95,16880.894,17935.95
Bosnia and Herzegovina,BIH,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,
Belarus,BLR,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,
