Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,,,,,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,1.6,1.6,1.7,1.7,1.7,1.8,1.7,1.7,2,1.982246575342463,
Afghanistan,AFG,,,,,NA,NA,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.217260273972603,
Africa,AFRC,NA,,,,,,168.8,170.3,167.9,178.4,198.2,182.4,125.9,163.2,170.2,184,192.5,180.5,185.1,198.7,145.6,155.6,167.6,200.2,210.6,188.2,215.7,224.6,245.4,242.3,256,254.1,292.4,297.1,276.7189863013699,
Angola,AGO,,,,,NA,NA,15,16,16,16,16,16,13,16,16,16,16,16,4.6,4.6,0,0,0,0,7.2,7.9,7.2,2.4,3.2,7.7,7.5,7.4,7.8,5.7,11.63958904109589,
Albania,ALB,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1.2,0.8,1.8,2.2,2.7,0.4,0.4,0.4,0.4,0.9,0.582575342465753,
United Arab Emirates,ARE,,,,,NA,NA,130,131,131,131,127,192,159,162,162,160,175,201,205,205,122,129,147,152,177,188,247,252,372,310,311,326,373,368,388.098493150685,
Argentina,ARG,,,,,NA,NA,8.2,12,11,14,13,7.6,9.4,13,11,6.1,11,13,13,14,9.7,11,11,11,10,13,14,33,35,28,36,40,47,52,47.7186301369863,
Armenia,ARM,,,,,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,1.32166666666667,1.2601095890411,1.10802739726027,0.564876712328767,0.823333333333333,0.955945205479452,0.847315068493151,1.21665753424658,1.21333333333333,0.630054794520548,0.934219178082192,0.955945205479452,1.02112328767123,0.999397260273973,0.912493150684932,0.673506849315068
American Samoa,ASM,,,,,NA,NA,0,0,0,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.8,1.8,2,2,2,0,2,2,0,0,0,0,
Asia & Oceania,ASOC,238,223,158,157,163.8,163,454.3,450.9,513.8,542.6,574.7,592.1,534.9,642.3,701.2,750,682.3,789.1,907.8,972.5,920.8649453551911,912.2803561643835,1011.5875616438357,1133.1839452054794,1367.0506830601093,1337.8077534246574,1611.048,1884.8301643835634,1805.2697032307854,1882.1346142465752,2109.65687369863,2050.7558873972607,2178.4986726072316,2057.8819178082194,2176.423504436977,390.90512328767164
Antarctica,ATA,,,,,NA,NA,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.5,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.5,0.9,1.5,1.5,1.1,1.5,1.5,0,0,0,0,
Antigua and Barbuda,ATG,,,,,NA,NA,1.2,0.7,0.7,0.7,0.7,0.8,0.7,0.8,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1,1,1,1,1.1,1.1,1.2,1.2,1.2,1.3,1.2,1.1,1.0541369863013703,
Australia,AUS,41,40,17,14,14,11,8.7,11,11,13,11,11,11,11,14,16,16,14,13,16,14,14,12,12,14,16,15,16,17,14,12,14,14,14,13.55293150684931,
Austria,AUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Azerbaijan,AZE,,,,,--,--,--,--,--,--,--,--,0,0,0,0,11,13,11,11,11,11,12,13,14,11,11,8.3,9.3,6.6,10,11,9.8,9.9,9.0513698630137,
Burundi,BDI,,,,,NA,NA,0.04345,0.04345,0,0.04345,0.04345,0.04345,0,0.04345,0.04345,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0869041095890411,0.0869041095890411,
Belgium,BEL,49,53,48,48,46,44,54,62,69,73,77,79,78,80,77,74,84,95,101,82,100,98,127,128,154,142,154,172,169,128,117,134,108,113,101.2255342465753,
Benin,BEN,,,,,NA,NA,0.02438,0.4,0.3,0.4,0.3,0.4,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.6,1.9,3.2,1.9,1.9,3.7,3.95413698630137,
Burkina Faso,BFA,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.3,0.3,0.3,0.3,1.2,1.19493150684931,
Bangladesh,BGD,,,,,NA,NA,0.1,0.3,0.3,0.3,0.2,0.1,0,0.2,0.2,0.2,0.3,0.3,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,3.3,5.8,5.1,4.6,7.7,8.9,8.5,8.7,8.84216438356165,
Bulgaria,BGR,,,,,NA,NA,0,0,0,0,0,6.9,5.1,5.1,5,5.2,4.5,6.4,5.4,5.4,1.3,2,4.4,5.4,5.6,2.2,6,4.9,6.9,7.3,5.4,5,4.7,5.2,5.20375342465753,
Bahrain,BHR,,,,,NA,NA,11,11,12,13,13,13,4.2,4.5,4.5,4.4,2.4,2.1,2.1,2.1,2.1,2.1,2.1,11,13,9.1,12,13,13,14,15,14,14,10,9.90419178082192,
The Bahamas,BHS,,,,,NA,NA,4.6,6.7,5.4,3.7,6.8,4.7,3.5,4.2,4.4,4.1,4.1,8.5,5.4,5.4,4.1,4.2,4.2,5.1,5.7,3.9,5.9,6.7,6,5.5,5.5,5.5,5.5,3.8,3.81213698630137,
Bosnia and Herzegovina,BIH,,,,,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.0651780821917808,0.0869041095890411,
Belarus,BLR,,,,,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,2.38986301369863,
Belize,BLZ,,,,,NA,NA,0.3,0.3,0.01808,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.7,0.6,0.8,1.5,0.4,0.4,0.4,0.4,0.4,0.3,0.304164383561644,
Bermuda,BMU,,,,,NA,NA,0.5,0.8,0.8,0.8,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.7,1.4,1.4,1.4,1.4,1.4,0.6,0.607397260273972,
Bolivia,BOL,,,,,NA,NA,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.9,1.1,1.28183561643836,
Brazil,BRA,,,,,NA,NA,18,18,20,21,20,25,16,30,35,36,42,32,52,52,56,55,69,78,84,89,90,102,119,105,117,126,119,114,118.3934246575343,
Barbados,BRB,,,,,NA,NA,3.5,2.9,2.5,2.4,2.6,2.6,0,1.8,2.4,2.6,2.8,2.8,2.8,2.8,4.3,3.3,3.3,3.3,3.3,1.9,1.7,0,0,1.7,1.7,1.7,1.7,4.5,4.45687671232877,
Brunei,BRN,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,1.9,1.8,4,4.1,2.9,3.3,2.85630136986301,
Bhutan,BTN,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014556438358,0.0143391780821918,0.0143391780821918,0.0143391780821918,0.0143,0.0651780821917808,0.0651780821917808,
Botswana,BWA,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.217260273972603,
Central African Republic,CAF,,,,,NA,NA,0.02438,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0.3,0.4,0.4,0.4,0.3,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.716958904109589,
Canada,CAN,28,18,28,17,10,7.1,6.8,10,11,12,12,12,11,11,12,12,12,8.7,22,20,20,20,22,19,19,13,10,11,12,9.9,10,12,9.3,7,7.882109589041097,
Switzerland,CHE,15,14,0,0,0,0,0,0.2,0.3,0.4,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0613150684931507,
Chile,CHL,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,8.9,1.4,5.4,5.42506849315069,
China,CHN,,,,,NA,NA,0,0,0,0,35,40,45,45,57,69,22,19,39,73,76,72,80,106,151,140,158,212,194,234,276,232,302,147,282.182082191781,
Ivory Coast,CIV,,,,,NA,NA,1.3,1.5,1.5,1.5,1.4,1.8,0.1,1.7,1.8,1.9,3.2,1.7,1.7,1.7,1.7,1.7,1.7,3.7,3.6,3.1,3.2,3.2,2.5,2.3,1.5,1.4,1.7,1.8,2.343397260273971,
