Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Aruba,ABW,--,--,--,--,--,--,,,,,,,,,,,,,,
Africa,AFRC,,,,,,,,,,,,,,322992,323277.9,336397.8,346052,354775.8,356161.8,352763
Angola,AGO,7410,6404,6010,8720,10275,11380,13893,17735,22329,22416,23401,24633,26000,25076,26406,31825,35014,35170,36209,36697
Albania,ALB,2442,2436,3543,4152,3053,3044,3044,2989,2442,2602,1661,1044,584,623,637,554,527,510,349,309
United Arab Emirates,ARE,83623,71927,60997,56068,56075,58215,64901,75197,76577,90763,101725,114651,109183,103743,105377,107299,109745,111308,112822,104815
Argentina,ARG,25226,25413,25069,25069,24472,23486,22159,21852,22987,23486,24761,24863,28425,30451,33327,36654,38861,42759,43404,41124
Armenia,ARM,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,
Asia & Oceania,ASOC,,,,,,,,,,,,,,329131,336132,346981,356036,361908,363522.3,363371
Australia,AUS,18016,18628,17494,19669,22925,26719,24163,25418,25068,22769,26675,25283,24869,23334,24883,26062,26498,27263,25235,25004
Austria,AUT,1463,1302,1340,1288,1189,1134,1134,1082,1189,1185,1115,1293,1162,1100,1082,1161,1093,963,1039,913
Azerbaijan,AZE,--,--,--,--,--,--,--,--,--,--,--,--,10747,10041,9238,8786,8855,8676,11547,13857
Benin,BEN,,,,213,373,425,425,372,266,213,213,213,298,307,315,159,107,70,53,53
Bangladesh,BGD,,,,11,20,22,23,24,27,25,39,36,44,49,69,54,69,78,73,69
Bulgaria,BGR,150,149,149,149,200,299,299,299,220,249,199,60,53,48,53,50,35,30,40,39
Bahrain,BHR,2391,2285,2194,2094,2050,2094,2194,2094,2150,2144,2094,1895,1837,2032,2034,2033,1750,2010,1879,1867
Bosnia and Herzegovina,BIH,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,
Belarus,BLR,--,--,--,--,--,--,--,--,--,--,--,--,2010,2008,2000,1932,1832,1826,1830,1840
Bolivia,BOL,1254,1019,1112,1019,975,926,834,880,882,926,969,973,988,1030,1047,1297,1400,1352,1602,1501
Brazil,BRA,9165,10697,13057,17025,23920,28325,28726,28425,27899,29932,32615,32589,32467,33262,34732,35974,41237,43526,50100,58547
Barbados,BRB,,,50,50,100,100,100,68,65,55,62,60,68,63,62,65,50,45,80,97
Brunei,BRN,11718,8106,7658,8056,7978,7608,8255,6912,6831,6564,7459,8016,8241,8205,8315,8106,7749,7957,7827,9051
Canada,CAN,70471,62932,62246,66409,70618,72041,72188,75175,79359,76400,78882,78627,81758,85304,88691,91694,93547,97637,100626,96842
Chile,CHL,1609,1994,2091,1897,1853,1751,1507,1459,1190,1070,954,827,731,679,604,514,448,358,393,374
China,CHN,105701,100327,101972,105712,114802,124909,130644,134134,136502,137450,138323,141365,142252,144107,146565,149094,156569,160017,159909,159750
Ivory Coast,CIV,50,351,451,1152,1357,1403,1002,902,603,100,100,100,75,25,342,401,804,940,1002,752
Cameroon,CMR,2946,4407,5522,5775,6858,9372,8967,8815,8280,8612,8156,7766,7130,6427,5468,5623,5486,6282,6105,5066
Congo-Kinshasa,COD,1000,997,1147,1247,1600,1646,1596,1596,1500,1396,1446,1396,1300,1247,1296,1496,1500,1413,1316,1107
Congo-Brazzaville,COG,3170,4036,4328,4231,5900,5835,5787,5981,7022,7975,8024,7586,8485,8804,8753,9142,9801,12303,12887,13130
Colombia,COL,6510,6441,7265,7832,8680,9068,15715,19837,19530,20765,22684,21601,22384,23508,23199,30159,32204,33613,37764,42068
Central & South America,CSAM,,,,,,,,,,,,,,251307,263979,285940,305993,330293,326102,323211
Former Czechoslovakia,CSK,108,108,108,108,108,108,162,162,162,162,124,144,120,--,--,--,--,--,--,--
Cuba,CUB,284,453,566,679,851,962,1019,1019,851,849,809,792,936,1104,1369,1472,1703,1715,1783,2151
Czechia,CZE,--,--,--,--,--,--,--,--,--,--,--,--,--,114,131,161,224,176,194,211
East,DDR,50,50,50,50,50,50,50,50,40,45,40,--,--,--,--,--,--,--,--,--
Germany,DEU,--,--,--,--,--,--,--,--,--,--,--,3550,3153,3030,2906,2913,2977,2803,2920,2753
West,DEUW,4646,4483,4231,4080,3990,4080,4029,3727,3939,3777,3576,--,--,--,--,--,--,--,--,--
Denmark,DNK,286,712,1661,2136,2190,2753,3608,4605,4713,5554,5964,7043,8052,8582,9118,9172,10277,11361,11749,14797
Algeria,DZA,51008,46086,45396,44212,46765,47653,49305,49274,48195,50850,52980,52528,54095,52407,51854,52159,55244,56512,56344,54088
Ecuador,ECU,10472,10802,10802,12133,13244,14385,15000,8908,15503,14283,14590,15307,16478,17593,18685,20069,20317,19875,19222,19074
Egypt,EGY,30013,30082,33704,36571,41463,44620,40897,45072,42775,43513,43915,43966,44450,44770,45057,46280,46490,43056,41910,42814
Eritrea,ERI,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,
Spain,ESP,1609,1216,1459,2820,2243,2140,1848,1653,1463,1021,778,1070,1067,866,806,653,512,370,514,296
Estonia,EST,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,
European Union,EU27,27027,27670.5,29911,32884,32658,33690.3,35917.7,36753.7,36756.7,34736.7,33667,33419,34397,34183.1,36876.5,35564.5,35907,36664.3,36529,35622
Eurasia,EURA,,,,,,,,,,,,,,380286,351071,344960,340931,347097,347962,366192
