Country,Code,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,,,,,,,,--,--,--,--,--,--,0.68,0.68,2.51912,3.4,3.54298,3.97386,4.37171,4.5,5.01917,5.61917,3.71912,6.01917,6.01917,6.019178082191781,6.997852459016395,7.2569315068493205,7.505375342465758,8.32563287671232,8.64056830601093,9.353326027397253,9.337304109589041,9.627364383561643,9.050728142076505,8.93342794520547,8.051014520547948,6.358597260273968,7.898724043715844,7.601567123287669,7.69860356164383,7.910535,7.790639,8.0926027398,7.6640526,7.27250794,7.06789479,7.49972109,7.67832878,7.58017808,7.641633682
Afghanistan,AFG,,,,,,,,6.999999999,8.000000001,7.799999998,11.000000001,11.000000001,13.000000001,13.59753,13.86794,13.18628,13.37298,13.57298,12.75473,7.13639,7.13649,6.63649,6.43649,5.92087,5.60002,5.40002,5.400027397260274,3.8812459016393435,3.860493150684933,3.270939726027391,4.705284931506853,4.331092896174859,6.529397260273979,8.322821917808216,9.100410958904114,20.81557377049185,36.25320547945199,42.76090410958903,55.81753424657529,49.05868852459019,35.082679452054734,27.677745205479425,34.914945136986304,25.590860712328766,43.56729863108356,58.67737808,59.46521918,62.58699451,57.06256713,54.78256713,56.23513973,57.739966693
Africa,AFRC,,,,,,,,1473.221726035,1577.420000005,1659.720000004,1697.420000007,1759.419999994,1827.52044,1819.39812,1840.1209,1907.17503,1982.4242,2067.38396,2116.7945,2158.39835,2176.52104,2209.23756,2280.26251,2341.68445,2405.83461,2441.79406,2459.7643593600415,2535.5961466425924,2618.1547356260257,2714.250099913562,2769.0361169062476,2887.6223658786257,3002.6498378720557,3008.7581266578054,3161.595710043589,3371.854512539808,3493.7780173597794,3670.4211472079446,3657.6724342973953,3777.949735159004,4054.5007108655886,4213.802338511708,4195.31038763363,4211.024078731758,4244.615806695123,4217.703870507418,4321.426962489655,3901.945361192577,4252.216301708493,4463.931479832043,4536.102085859,4648.431210287
Angola,AGO,,,,,,,,20.000000002,20.000000002,21.000000001,22,19,25.000000001,23.8,23.9,24,24.3,24.3,25.5,25.5,24.8,24.5,26.4,24.8,29.8,25.4,31.3,38.70139234972673,43.5847583561644,45.35358027397257,50.68749698630144,54.2014546448087,42.130644383561595,56.78680767123286,67.46339178082196,82.75661967213112,98.66940821917811,106.95469289863014,111.97478115068493,119.80948045901637,138.73805537534247,158.867808219,156.746602740479,137.14506849282202,114.127671235767,114.168384821,114.12586896,81.92222983,98.4485797,114.78352202,119.322332349,122.134906392
Albania,ALB,,,,,,,,46,44,42.999999999,44,42.999999999,41.999999999,38.3,33.9,31.6,27,19.984,17.92538,20.42626,16.72158,13.21491,14.8139,11.61284,12.41172,15.1,9.208099594520547,21.872560655737708,23.166780273972577,26.88155506849314,27.304556712328715,30.439071038251406,30.58374356164382,28.52933589041099,27.83662904109589,27.38395300546445,26.72517041095888,25.951811506849342,25.735346849315118,22.637728961748625,27.171761095890403,28.13148164383562,26.061698,27.170328,35.325689019168486,33.05213698630137,26.21414108,20.20414384,25.08042208,26.36187614,24.36023221,24.65532811
United Arab Emirates,ARE,,,,,,,,75,137.000000001,148,149,153,184.999999999,207.7,210.3,236.4,242.7,242.9,301.1,304.9,309.8,317.4,315.8,306.1,316.8,323.2,324.3,427.1428415300543,514.9270542465753,490.7937698630142,486.7135682191777,504.246042622951,524.5779145205474,561.8877567123291,586.5646095890414,628.8465103825135,622.5269019178082,645.0072827397256,703.795897260274,718.8539693989076,777.6545758904107,789.1586496547947,922.3439127561644,894.39589,898.5347671209589,895.1003342154795,827.18796848,708.30095267,759.61602079,828.53046579,894.60772604,877.966055731
Argentina,ARG,,,,,,,,531.3332919823288,513.5650210560959,497.9361711739041,507.56137151417806,494.26262760553425,447.09151345597263,480.79068493150686,484.38904109589043,463.94027397260277,426.9504109589041,407.89753424657533,413.6758904109589,433.2323287671233,496.38191780821916,445.972602739726,437.7019178082192,474.301095890411,486.5939726027397,529.3945205479451,485.7,549.4047895753424,520.5903951123289,468.4050881863014,502.4943777808219,560.6375700850364,563.2148334575339,598.7314294904112,629.5948701808214,684.7698721311481,658.006569863013,731.8113118794518,724.9578852109588,757.4252612021863,763.8709402739728,763.6902783561645,793.612832980822,776.904164,750.7489315068493,722.3535342509589,711.83712328,564.76800359,735.76550236,757.05668481,753.32586305,734.57271244
Armenia,ARM,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,43.4,24.7,17.93169,24.51617,28.47393,29.77413,32.17413,4.431780821917808,7.5777595628415355,7.444575342465767,7.082219178082193,7.3749863013698675,7.6748087431694,8.97408219178082,8.414602739726021,9.086575342465759,9.671639344262294,8.489397260273975,9.033068493150688,8.519095890410952,8.722082191780817,7.809315068493151,7.779917808219179,8.222465,6.843248,8.202986301369863,8.063643838493151,10.02997987,12.76338006,13.99320994,15.08512328,17.06298629,18.81942465
American Samoa,ASM,,,,,,,,2.8,3.3,4.6,2.9,3.3,3.1,3.2,3.32117,3.22112,3.72931,3.92931,3.92931,4.02895,3.92931,3.82931,3.72931,3.72895,3.82931,3.82931,3.8293150684931505,3.744098360655734,3.754356164383566,3.817315068493155,3.817315068493155,3.80688524590164,4.065698630136983,4.14,4.14,4.14,4.14,3.89669041,3.20713863,3.21531397,3.20509479,3.0390126,3.0390126,3.0390126,3.0390126,3.03919726,3.05146028,2.94929767,3.00893068,3.0089091383901776,3.06376453,3.864999565
Asia & Oceania,ASOC,4949,4864,4621,4837,4880,4945,5050,10905.809999999,10816.820000005,10595.819999998,10493.820000009,10951.187212007,10868.034138999,11141.946378,11537.727524,12388.426251,13176.101984,13790.810111,14288.763526,15156.15212,15942.230791,17016.429015,17833.22566,18873.86701,19170.470467,19140.948781,20239.536327813697,20936.12821685428,21084.92380731295,21657.772010330697,22644.409438670853,24100.11814956388,24404.690606866967,25041.24085563236,25916.570355882228,25706.932523856216,26109.117909515786,27551.54003267369,28352.330049793818,29480.417505765654,30202.437454148665,30872.13475779303,31821.19949024646,33159.75367369122,34617.69087648626,35051.90656891401,35579.91836860392,33570.12312401383,35405.61705856335,35822.78331042216,36993.677554174,37782.78171603415
