Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Antarctica,ATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.46473861442955,4.65326549339187,4.65326549339187,4.65326549339187,4.664801030960956,4.65326549339187,4.65326549339187,4.65326549339187,4.479345127883472,0,0,0,0,0,0,0,0,
Antigua and Barbuda,ATG,205.0912870665824,182.61690095847075,248.35898539286234,146.09352121348724,161.1431554035562,160.7028735581913,163.3844195057469,223.355323999654,223.9672563941736,223.355323999654,223.355323999654,223.355323999654,223.9672563941736,223.355323999654,223.355323999654,223.355323999654,223.9672563941736,223.355323999654,223.355323999654,223.355323999654,268.6383211941048,268.638321194105,268.638321194105,323.10030430634805,323.10030430634833,323.10030430634805,365.93557192272044,365.93557192272044,355.04317530027095,355.04317530027186,253.03404513385524,242.14164851140663,279.5307178165535,279.5307178165536,370.6474513605216,295.86931275022766,297.8764510042509,0,309.2790726370268,309.2790726370268,300.0684350436542,300.0684350436542,309.2790726370268,309.2790726370268,312.0868927776044,
Australia,AUS,172454.78742351368,194319.13187969898,254625.06935960555,238990.1966796298,179718.42405304004,183910.16178772735,188695.47366360977,207328.81562747076,229676.5849007226,233641.90654184003,247226.80618972107,234015.1868935212,225943.79878726808,245329.81591969338,239332.87958547624,258633.2275533974,271642.9087004565,290514.90396161727,290135.50590761175,292460.8492515592,294009.03817297786,269133.98551576666,285888.6947836795,309888.6844594098,312893.27189232997,308016.17169933923,299602.0996836705,286243.6153277279,284450.65319148987,284628.11530543055,322298.67256356194,367134.959997315,369399.1087616785,354180.35120533506,333680.61641728116,303867.2683816823,298280.3266783614,284976.9159136014,302031.47300332406,295226.78330762836,285411.38761386345,279389.97284567123,247783.6645157508,230288.51894745967,227259.45188117694,
Austria,AUT,58231.486662485135,87108.57635986507,64773.04395989966,75940.81015988236,78449.73207175278,70451.7771317807,76442.5957636735,80169.26370973505,76442.59575143486,76424.23595604073,85101.43841180697,82121.3267020013,88332.4417975526,81980.5838116894,85939.78475201374,76032.60026383326,86606.792004416,97939.77958987888,92095.82601772882,87904.08761603519,89091.23838287093,94304.90174776824,96703.6753880338,91594.04041393768,101127.94647802402,78051.9758500933,99347.22412787058,95761.30130567418,91502.25037729934,89397.20455565343,90455.84625192107,85223.82372803934,89697.04965436409,89440.03963969009,90602.7113116638,85242.18353567211,85750.08589329239,77966.30568201999,90382.4137220497,100693.4760077461,98355.89478694308,102890.31186603033,90498.68133595774,89023.92420397226,100381.38970326763,
Azerbaijan,AZE,--,--,--,--,--,--,--,--,--,--,--,--,73909.19461007729,60305.93747990658,58072.38423991004,20548.689807968167,18589.28228071641,11614.476847982009,26802.63887995848,24569.08563996194,49941.05235612599,40385.07606292945,44196.62654052127,37592.17796469195,53272.91062067831,56478.99039163191,51525.55869412457,36757.269815598374,47498.50440126885,48727.55969878745,49170.19627224514,48648.5184474803,51419.45471865388,50001.752084340565,48313.45391024655,48756.00990444638,44793.45127883472,56073.62266513098,61357.12448491726,34089.213317142094,36380.27765166495,39437.333636306976,35006.93254942654,38822.510388751194,35068.315698931976,
Burundi,BDI,2.4777340797807947,2.823959535691025,2.4709643145354923,2.823959535691025,3.5396210738322345,3.5299499780020915,3.573685183994464,6.521975460789897,1343.8035383650415,1563.487267997578,1786.842591997232,1786.842591997232,2015.7053075475624,2233.55323999654,2233.55323999654,2233.55323999654,2239.672563941736,2233.55323999654,2233.55323999654,2233.55323999654,740.193424410907,500.56069871703306,397.14412404321996,300.0916462724126,278.95550136570483,116.6220757475454,172.1439257670977,1951.4524061230038,348.080608515429,219.41019585218618,327.6989762511627,737.5749656947581,374.02470624587477,875.3772454814173,314.4628785577044,296.26890460384885,324.7525217715517,0,253.2134046288,192.916962651567,762.1301456985832,329.3145832782806,717.4590808986524,488.3959047363242,507.22118191015466,
Belgium,BEL,129901.00870862069,221121.77075965746,167516.4929997405,169750.04623973704,129001.46885971169,163857.13764767273,163514.45474182625,172601.65046387952,173525.6689425819,171904.04924753786,170196.75688773635,181719.44363176747,179975.4354384426,177142.18947374396,284230.3596773455,285374.67154168646,306308.87867865077,302141.6206813545,297050.3432813379,317342.0203515329,358990.1386941842,344297.64199355844,351340.9846193945,343465.413355676,357588.8136453594,372538.32285734336,346659.70048566494,335020.7483612791,385223.6809979786,330045.73634161724,363628.5874073143,331961.08641927765,347369.54384403094,370561.7801215667,395956.9744635335,368915.68265343463,385896.80562838103,357919.25678959856,333490.91627350176,285129.89867566846,271685.7446779144,308927.9505694174,259030.98318148244,235232.93128773352,260793.34800651096,
Benin,BEN,170.05352248408354,169.5888953734713,113.05926432683194,169.5888953734713,170.05352248408354,197.8537120135676,192.5546248201017,446.710647999308,54.4464400294236,54.454027991115645,20.10197915996886,48.914815955924226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146.3941478930192,1011.5242481408985,1139.4603208296,945.5310109863269,945.5310109863269,1211.415129978284,1134.301097710288,4893.549505063558,6645.121579907704,1120.627573860333,1149.0940358198732,
Burkina Faso,BFA,195.7881239721184,195.25318374268636,195.25318374268636,195.25318374268636,195.7881239721184,188.74474361453085,223.355323999654,223.355323999654,218.41286843559809,223.355323999654,223.355323999654,1.3624674763978895,0,446.710647999308,446.710647999308,446.710647999308,447.9345127883472,6924.015043989274,446.710647999308,446.710647999308,272.30991556122217,272.3099155612218,272.3099155612218,272.3099155612218,272.30991556122217,298.01107613104614,300.5811921880266,302.29460289268314,252.11614654207528,271.3920169694437,204.07945357228652,37.26668282624361,29.85618152861134,39.7082930803768,41.121856911717146,36.58131854438164,35.83476102306778,0,0,45.2407949603456,38.562291413261,44.787120943719,44.787120943719,44.787120943719,45.84797960352841,
Bangladesh,BGD,5625.2241141383065,5785.162606928232,5960.470564510886,5259.238734180271,5449.435860781453,5609.854649345579,6030.593747990658,5360.527775991696,5599.18140985434,5360.527775991696,5137.172451992042,8710.857635986506,4479.345127883472,7370.725691988582,14518.09605997751,16081.583327975088,6271.083179036861,16081.583327975088,16528.293975974397,19431.913187969898,32405.68089785792,31710.86370466116,26696.737835285716,30548.65893710448,6895.1001858245045,5188.270128708403,6290.075504469907,5721.689565395593,5391.591128793613,4025.7393725264965,6240.214494168282,5927.962527351967,7277.786648251023,6701.338059287595,6495.862910309882,6197.6370703856655,6719.017691825208,11605.316895271795,9489.342497872189,8375.107212007244,6840.9715978295535,10059.050206698446,8698.893302617795,8895.355252934165,9120.017791135215,
