Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Burundi,BDI,0.001,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.0044,0.0175,0.0129,0.0029,0.0207,0.0335,0.0287,0.0241,0.0738,0.0991,0.1238,0.0866,0.118,0.120147,0.119990792
Belgium,BEL,38.286,34.889,32.148,25.934,24.186,20.158,16.818,18.774,19.864,23.894,24.98,25.644,25.131,25.385,27.71,28.925,28.676,27.487,32.436,30.826,32.804,30.208,31.5,34.224,33.197,33.728,32.579,33.803,31.75,35.688,37.203,31.174,29.371,26.233,23.813,26.341,27.0684,27.8617,28.6503,30.4484,30.4997,25.8053,26.3711678,18.6527795
Benin,BEN,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.019,0.022,0.023,0.024,0.048,0.029,0.047,0.05,0.058,0.066,0.082,0.064,0.061,0.078,0.08,0.106,0.15,0.217,0.226,0.127,0.114,0.101,0.048,0.13,0.348,0.324,0.266,0.3245,0.1967,0.5211,0.9816,1.11,0.968,0.968
Burkina Faso,BFA,0.098,0.108,0.115,0.117,0.113,0.115,0.122,0.133,0.143,0.153,0.165,0.169,0.17,0.158,0.134,0.138,0.149,0.167,0.234,0.225,0.2921,0.3117,0.3009,0.3487,0.3718,0.4158,0.4677,0.501,0.4835,0.5675,0.4478,0.448,0.5284,0.6252,0.7797,0.9057,0.8317,0.9559,1.6,1.336,1.292,1.4,1.435,1.435
Bangladesh,BGD,2.04,2.503,2.771,2.91,3.191,3.883,4.395,5.071,5.82,6.129,6.743,7.606,8.233,8.703,9.169,9.808,10.091,10.471,11.296,12.8,15.004,16.399,17.898,18.945,23.916,25.68,28.764,30.238,33.268,36.76,40.026,43.237,47.712,52.27,55.271,58.481,67.854,72.1618,77.7542,83.924,84.206,94.304,100.6673,104.434
Bulgaria,BGR,23.37,22.694,24.967,25.259,26.853,24.595,25.676,26.685,24.733,25.353,24.062,21.894,20.675,20.757,20.05,20.881,20.412,20.789,20.196,18.258,19.78,22.244,19.742,22.013,21.423,20.96,21.744,25.367,25.857,23.407,24.98,29.774,25.467,21.973,23.672,24.591,21.769,23.2713,21.0367,19.7732,16.1594,20.0996626,24.0852035,13.7069523
Bahrain,BHR,1.554,1.699,1.881,2.083,2.272,2.761,3.018,3.117,3.273,3.281,3.281,3.285,3.662,3.989,4.277,4.335,4.715,4.738,5.427,5.599,13.859,14.618,15.258,15.702,16.15,19.373,21.042,21.727,22.824,22.561,23.824,24.338,24.775,25.909,27.246,28.475,28.508,29.223,29.546,33.092,33.363,33.874,35.598,36.075000961
The Bahamas,BHS,0.799,0.714,0.762,0.819,0.814,0.846,0.851,0.853,0.855,0.87,0.893,1.067,1.095,1.144,1.201,1.179,1.213,1.282,1.393,1.464,1.7048,1.7695,1.8862,1.9951,1.9797,2.085,2.121,2.246,2.251,2.14,2.01,2.054,1.9,1.885,1.922,1.998,1.966,1.987,1.997,2.007,2.017,2.027,2.027,2.027
Bosnia and Herzegovina,BIH,--,--,--,--,--,--,--,--,--,--,--,--,2.93,0.902,0.738,0.713,2.053,3.863,4.771,4.714,5.335,5.457,5.517,6.765,6.749,6.604,7.452,7.783,9.956,9.429,9.098,10.893,9.867,10.215,10.225,10.078,12.102,12.425,12.509,11.029,11.956,11.338,11.217299398,11.333701881
Belarus,BLR,--,--,--,--,--,--,--,--,--,--,--,--,35.323,31.349,29.495,23.404,22.289,24.474,21.963,24.81,26.074,25.033,26.427,26.599,31.176,30.924,31.773,31.779,34.975,30.265,34.756,32.052,30.596,31.209,34.447,33.755,33.145,33.729,38.18,39.42,36.849,34.2,31.235,30.506470588
Belize,BLZ,0.051,0.052,0.053,0.055,0.063,0.067,0.07,0.075,0.085,0.089,0.102,0.118,0.132,0.148,0.135,0.102,0.086,0.092,0.087,0.086,0.041,0.043,0.046,0.098,0.0844,0.0873,0.0322,0.0386,0.0115,0.049,0.046,0.0203,0.0274,0.0248,0.0267,0.0309,0.0267,0.0269,0.0326,0.0751,0.0515,0.0522,0.05675886,0.0542473
Bermuda,BMU,0.311,0.32,0.331,0.345,0.358,0.37,0.387,0.409,0.431,0.438,0.461,0.482,0.486,0.487,0.495,0.49,0.494,0.498,0.51,0.55,0.59,0.6,0.629,0.649,0.652,0.684,0.705,0.7189,0.713,0.733,0.73,0.7168,0.6882,0.6652,0.6489,0.6623,0.6534,0.6622,0.6294,0.5981,0.576,0.581,0.617216,0.627136026
Bolivia,BOL,0.453,0.489,0.443,0.469,0.304,0.329,0.353,0.368,0.585,0.711,0.85,0.907,0.93,0.975,1.324,1.564,1.604,1.714,1.984,1.92,1.881,1.798,1.928,2.308,2.335,2.893,2.818,3.083,3.568,3.853,4.41,4.683,5.002,5.173,5.913,6.35,7.37,7.1839,7.0757,6.628,6.6145,6.687,7.50036,7.759053
