Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bangladesh,BGD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-05,5e-05,0.0001,0.0005,0.001,0.002,0.003,0.004,0.005,0.01,0.02,0.02,0.031,0.0706,0.0627,0.0912,0.1345,0.1698,0.208,0.23,0.263,0.325,0.384,0.469,0.623,0.876,1.076
Bulgaria,BGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.029,0.015,0,0.011,0.006,0.02,0.022,0.027,0.053,0.138,0.248,0.731,1.017,2.101,2.845,2.783,3.107,3.164,3.3029,4.253,4.5906,4.6612,5.4891,5.7456107,6.6425804
Bahrain,BHR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008,0.0008,0.0083,0.0083,0.0083,0.0083,0.012,0.019,0.019,0.04,0.088,0.095
The Bahamas,BHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0.0006,0.0009,0.002,0.002,0.002,0.002,0.0021,0.005,0.006,0.007,0.011,0.019,0.019
Bosnia and Herzegovina,BIH,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.003,0.009,0.01,0.025,0.028,0.132,0.292,0.32,0.496,0.819,0.867616782
Belarus,BLR,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.003,0.015,0.034,0.067,0.094,0.106,0.133,0.16,0.168,0.22,0.279,0.381,0.482,0.695,0.962,0.898,0.888,0.949791673
Belize,BLZ,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0402,0.0402,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.1068,0.0625,0.1359,0.0875,0.0667,0.0948,0.1021,0.1089,0.1343,0.1645,0.1494,0.1529,0.166253442,0.158860389
Bermuda,BMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0065,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.008,0.007,0.0065,0.0062,0.006,0.006,0.006,0.006,0.006,0.006,0.0065,0.0065,0.0065,0.006,0.006,0.006374008,0.006416667
Bolivia,BOL,0.046,0.023,0.023,0.041,0.039,0.035,0.037,0.047,0.048,0.045,0.032,0.037,0.041,0.043,0.044,0.045,0.047,0.048,0.05,0.052,0.054,0.054,0.054,0.054,0.056,0.056,0.04,0.048,0.065,0.081,0.08,0.088,0.083,0.131,0.14,0.219,0.217,0.199,0.3545,0.4996,0.723,0.932,1.325,1.208710922
Brazil,BRA,1.9228,2.0387,2.3579,3.172,3.1179,3.1293,3.2005,3.6338,3.4266,3.3221,3.859,4,4.899,4.954,5.388,5.594,6.754,7.3831,7.5101,8.3681,7.8461,9.0151,10.2801,11.9551,12.5371,13.6842,14.9602,18.6702,20.6542,23.8402,33.641,35.141,40.757,47.426,59.338,71.2497,84.9725,98.5802,108.709,119.8605,128.7038,146.7423,168.2763564,202.8575038
Barbados,BRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.0071,0.007,0.0067,0.0127,0.0166,0.0257,0.0357,0.0358,0.0457,0.068,0.0825,0.085289438,0.088078877
Brunei,BRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0.002,0.001,0.001,0.002,0.002,0.002,0.002,0.004,0.005,0.005
Bhutan,BTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Botswana,BWA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.002,0.003,0.003,0.005,0.005,0.006,0.006,0.006,0.006,0.006345756,0.006
Central African Republic,CAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0003,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0,0,0,0,0,0
Canada,CAN,1.235,1.803,2.032,1.981,2.221,1.598,1.777,2.202,2.366,3.308,3.995,4.025,4.573,4.933,5.849,5.757,5.96,7.001,7.434,8.511,8.538,9,9.512,9.941,9.818,9.529,10.275,10.955,11.112,14.757,18.08,19.956,21.917,29.265,33.296,38.828,46.644,46.281,47.9,47.479,50.21,50.8392,51.663,54.2112374
Switzerland,CHE,0.2,0.4,0.4,0.4,0.4,0.3,0.4,0.5,0.5,0.5,0.805,0.831,0.926,0.921,1.054,1.095,1.181,1.393,1.512,1.641,1.76,1.846,1.901,1.923,2.012,2.136,2.372,2.346,2.442,2.446,2.556,2.768,3.129,3.456,3.948,4.047,4.435,4.9211,5.149,5.4548,5.9518541,6.2455688,7.2026699,9.3338056
Chile,CHL,0.1,0.105,0.13,0.198,0.191,0.185,0.266,0.257,0.311,0.305,0.963,1.033,1.743,1.75,1.786,1.879,1.738,1.743,1.161,1.01,0.941,2.075,1.951,1.814,2.038,1.797,1.438,2.705,3.121,4.353,2.579,5.011,5.263,6.322,7.248,8.965,10.993,13.484,14.6076,16.7865,18.5566,24.1176,29.6986983,33.0480913
China,CHN,0,0,0,0,0,0,0,0,0,0,0.004,0.011,0.017,0.026,0.388,2.968,1.524,2.823,2.748,2.915,3.056,3.211,3.338,3.514,3.798,7.417,11.078,15.631,29.768,48.108,79.308,111.333,143.427,206.101,246.689,287.9635,377.8454,504.4805,644.60773,750.20173,876.0703124,1146.5031101,1378.25951,1677.51213
Ivory Coast,CIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107,0.1101,0.1012,0.1152,0.1182,0.0725,0.071,0.066,0.068,0.07,0.073,0.109,0.178,0.114,0.068,0.0763,0.09,0.095,0.101,0.105602521
Cameroon,CMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.643,0.076,0.077,0.071,0.06,0.064,0.068,0.073,0.08,0.045,0.049,0.0543,0.0599,0.0612,0.0614,0.065,0.066643179,0.066999672
Congo-Kinshasa,COD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1501,0.156,0.161,0.166,0.175,0.172,0.271,0.262,0.044,1.082,2.141,2.227
Congo-Brazzaville,COG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0.0003,0.0003,0.001,0.001,0.001,0.001,0.001,0.001,0.0012,0.0012,0.018
Cook Islands,COK,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0008,0.0014,0.0035,0.0047,0.007,0.016,0.015,0.013,0.0159,0.0159,0.0159
Colombia,COL,0.234,0.336,0.39,0.304,0.486,0.251,0.412,0.294,0.507,0.518,0.274,0.269,0.34,0.389,0.444,0.477,0.496,0.483,0.532,0.457,0.502,0.502,0.497,0.502,0.526,0.559,0.6,0.589,0.598,0.606,2.464,2.048,2.016,1.114,1.4254,1.4474,1.5195,1.4392,1.5179,1.7645,2.3525,2.6262,2.8851239,3.4611678
Comoros,COM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.005,0.006,0.007,0.007,0.008,0.008,0.008,0.006,0.006,0.005,0.006,0.006,0.007,0.007,0.006,0.007,0.004,0.025,0.071,0.083,0.09,0.085,0.083,0.075,0.089,0.083,0.073,0.083,0.146,0.146
Costa Rica,CRI,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.01,0.472,0.471,0.471,0.485,0.544,0.632,0.685,0.909,1.176,1.187,1.433,1.274,1.485,1.423,1.563,1.559,1.411,1.635,1.68,1.834,2.122,2.201,2.475,2.663,2.713,2.643,3.02,3.569,3.411,3.4481,2.9948077,3.1692908
Central & South America,CSAM,4.5098,4.8667,5.5629,6.219,6.5959,5.9843,6.2985,6.6708,6.8436,6.8891,8.299,8.373,10.664,10.2637,10.8207,11.0067,12.533,13.3981,12.4733,14.3004,15.0713,17.4901,19.1496,20.8468,22.2767,23.3341,24.9495,30.7144,33.6993,38.7142,50.8653,54.1486,63.1892,72.9824,87.8463,106.308,125.2089,142.2716,158.7743,179.372,197.4778,228.007,256.724902654,297.280543803
Former Czechoslovakia,CSK,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Cuba,CUB,0.9,0.9,1,1,1,1,1.1,1.1,1.2,1.2,1.449,1.264,1.337,0.887,0.897,0.69,0.922,0.87,0.779,0.8811,0.9451,0.9311,0.9401,0.7211,0.7901,0.4221,0.4081,0.4151,0.5621,0.5381,0.469,0.474,0.587,0.816,0.75,0.85,0.85,0.7202,0.587,0.745,0.7829,0.6694,0.551,0.611439385
Cayman Islands,CYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.009,0.015,0.018,0.02,0.022,0.022583866,0.023
Cyprus,CYP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.003,0.015,0.031,0.074,0.179,0.257,0.33,0.314,0.3996,0.4246,0.4352,0.4774,0.5148,0.5966,0.7714,0.8858629,1.085206
Czechia,CZE,--,--,--,--,--,--,--,--,--,--,--,--,--,0.28685,0.42085,0.42385,0.388,0.528,0.598,0.832,0.532,0.528,0.513,0.503,0.729,0.759,0.977,1.33,1.718,2.235,3.136,5.337,5.978,6.615,7.305,7.675,7.4345,7.8154,7.8534,8.1235,8.3252,8.3844,8.775,9.212096
East,DDR,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Germany,DEU,--,--,--,--,--,--,--,--,--,--,--,5.939,6.508,6.873,8.659,9.415,10.071,11.321,14.364,13.809,19.533,23.013,28.562,30.502,39.3012,46.6642,56.1514,72.4764,78.644,82.224,89.817,111.792,126.833,134.879,149.201,175.283,174.938,201.472,208.482,224.08,235.777,219.2700001,240.5490933,249.515164
West,DEUW,5.165,4.74,4.725,4.046,4.316,4.319,4.192,3.8,4.311,4.621,4.852,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Djibouti,DJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.001,0.001,0.001,0.0702,0.070236,0.07
Dominica,DMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0002,0.0003,0.0003,0.0009,0.0009,0.0009,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0012,0.0012,0.0012,0.0012,0.00121716,0.00121716
Denmark,DNK,0.011,0.011,0.019,0.027,0.033,0.051,0.126,0.174,0.292,0.443,0.84,1.096,1.438,1.764,1.941,2.09,2.402,3.294,4.29,4.831,6.098,6.409,7.38,8.726,10.14,10.605,10.002,11.072,10.925,10.837,13.155,14.9419,15.5499,16.6685,18.6935,19.6714,19.0745,22.503,21.4489,23.8508,24.2072,26.8764,29.2443668,30.096
Dominican Republic,DOM,0.074,0.074,0.082,0.091,0.13,0.049,0.049,0.05,0.028,0.031,0.026,0.026,0.027,0.035,0.045,0.041,0.04,0.048,0.032,0.037,0.1596,0.1638,0.1744,0.1717,0.1393,0.1524,0.1616,0.1634,0.164,0.1578,0.1641,0.1786,0.2702,0.4274,0.4292,0.4959,0.5754,0.864,0.936,1.371,1.854,2.316,2.626,2.7757
Algeria,DZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0,0,0,0.077,0.116,0.58,0.698,0.721,0.824,0.805,0.847384627,0.891306891
Ecuador,ECU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.0213,0.024,0.0241,0.0242,0.0173,0.0186,0.099,0.158,0.2226,0.6124,0.5687,0.546,0.5787,0.5856,0.5139,0.49,0.49
Egypt,EGY,0,0,0,5e-05,5e-05,5e-05,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0011,0.0101,0.0102,0.0102,0.0102,0.0102,0.0242,0.3728,0.4545,0.4442,0.6121,0.7671,0.7966,0.8659,1.0865,1.1599,1.3657,1.9396,1.9841,1.5933,1.6832,1.9286,2.4643,3.0161,3.1071,4.781,8.903,10.444,10.814,11.054,10.722
Eritrea,ERI,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.004,0.004,0.004,0.005,0.005,0.006,0.006,0.007,0.007,0.008,0.05,0.051,0.051,0.049,0.048,0.048
Western Sahara,ESH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,ESP,0.344,0.403,0.463,0.532,0.523,0.58,0.511,0.535,0.639,0.633,0.692,0.694,0.822,0.831,1.002,1.609,1.892,2.843,3.533,5.223,6.845,8.747,12.241,15.63,19.377,24.321,26.791,31.711,39.561,48.43,54.983,56.496,65.582,73.783,70.285,68.005,67.187,68.557,68.809,75.358,82.337,94.841,103.975634,114.4481452
Estonia,EST,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0.006,0.005,0.008,0.013,0.013,0.014,0.012,0.024,0.036,0.038,0.089,0.116,0.124,0.169,0.5091,1.0171,1.1492,1.4353,1.255,1.438,1.609,1.6177,1.9162,2.0706,2.1876,3.0152,2.9674,2.7860647,3.0470002
Ethiopia,ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026,0.02,0.046,0.0461,0.044,0.052,0.051,0.064,0.06,0.044,0.0631,0.0734,0.0784,0.0828,0.24,0.3901,0.5461,0.8051,0.8311,0.5781,0.5791,0.8981,0.6681,0.8671,0.633807827,0.63447368
European Union,EU27,13.49,12.905,13.009,12.302,13.291,13.723,14.672,14.576,15.763,16.5788,23.066,25.08,27.367,29.93285,32.77285,36.23185,38.141,45.906,54.295,57.231,68.428,77.222,91.24,102.21,127.3342,147.8602,170.0074,202.3084,229.623,257.4663,295.4907,353.3025,410.479,453.1307,481.9197,534.116,540.6968,594.8988,610.7815,671.8169,726.1777172,741.0574069,818.9281226,882.8553109
Eurasia,EURA,0,0,0,0,0,0,0,0,0,0.026,0.027,0.029,1.881,1.784,1.64,1.609,1.584,1.561,1.552,2.108,2.604,2.978,2.985,2.172,2.252,3.095,3.248,2.834,3.36,3.367,3.626,3.668,4.419,4.9682,5.8894,6.063,5.9758,6.9014,8.497,12.9919,21.3401,25.192894866,25.669806458,28.861658513
Europe,EURO,13.869,13.542,13.577,12.884,13.894,14.218,15.371,17.565,17.91,18.8088,25.18,27.337,29.97685,33.115273,36.744455,40.70342,42.98758,51.59855,61.224546,65.418562,77.5245,89.2415,104.4666,116.666,143.2427,167.3275,192.3294,226.7922,257.181,289.7583,331.4592,399.2913,465.9679,524.4647,566.7227,643.7179,657.5658,733.8076,772.6896,851.4627,932.6788933,951.7353138,1056.9985578,1116.498064682
Finland,FIN,0,0,0,0,0,0,0,0,0,0,5.156,5,4.953,5.963,6.473,6.62,6.155,8.199,9.716,8.746,8.792,8.459,9.18,9.655,10.763,9.86,11.107,10.313,10.839,9.236,11.4867,11.9603,11.9367,13.1315,13.2518,14.1415,15.0421,17.1764,19.3592,19.9721,20.4947,23.0305,25.730342,26.0686576
Fiji,FJI,0,0,0,0,0.001,0.001,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02002,0.0201,0.0201,0.1301,0.1301,0.1301,0.1301,0.1301,0.1301,0.1301,0.1021,0.0721,0.0561,0.0423,0.0411,0.0446,0.0436,0.0431,0.047,0.0304,0.022,0.0991,0.1096,0.1266,0.1126,0.053528244,0.1306
Falkland Islands,FLK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0002,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,0.002,0.002,0.005,0.006,0.007,0.007,0.007,0.0064,0.0073,0.005,0.005,0.005,0.004,0.004,0.005,0.005
France,FRA,1.122,1.228,1.644,1.256,1.455,1.322,1.403,1.418,1.388,2.039,2.135,2.33,2.375,2.236,2.433,2.706,2.898,3.24,3.245,3.714,4.12,4.938,5.346,5.759,6.103,6.501,7.641,10.128,12.09,14.748,17.512,22.4605,27.6682,29.7335,32.5222,38.5507,40.5307,45.0381,50.8926,58.7589,65.0139,64.6096,70.658074,84.8655823
