Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Belgium,BEL,0.559,0.653,0.574,0.539,0.567,0.58,0.792,0.936,0.926,0.916,0.993,1.041,1.216,1.134,1.234,1.386,1.294,1.20895,1.40011,1.552,1.807,2.057,2.075,1.956,2.404,2.763,3.828,4.523,5.478,6.749,7.792,9.63,11.71,12.782,13.345,15.5878,15.4322,16.9431,18.1891,20.4601,24.4425,23.9082,25.3793001,27.892125669
Benin,BEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017,0.0017,0.0017,0.0017,0.002,0.002,0.002,0.002,0.001,0.001,0.005,0.004,0.004,0.002,0.002,0.001,0.001,0.002,0.002,0.006,0.01,0.006,0.0051,0.0081,0.0071,0.0171,0.01812305,0.03306
Burkina Faso,BFA,0,0,0,0,0,0,0,0,0,0,0.009,0.013,0.02,0.047,0.072,0.094,0.114,0.115,0.078,0.123,0.097,0.053,0.064,0.096,0.1004,0.0995,0.0799,0.1103,0.1346,0.131,0.122,0.09,0.106,0.116,0.101,0.106,0.157,0.159,0.265,0.257,0.296,0.308,0.262,0.296709012
Bangladesh,BGD,0.625,0.523,0.662,0.662,0.897,0.739,0.45,0.512,0.668,0.911,0.875,0.83,0.788,0.602,0.839,0.604,0.732,0.71202,0.85605,0.8251,0.9375,0.984,1.057,1.118,1.218,1.285,1.385,0.762,0.961,0.469,0.8346,0.9777,0.9072,1.0735,0.7868,0.802,1.24,1.294,1.4001,1.196,1.246,1.357,1.587,1.723
Bulgaria,BGR,3.674,3.58,3.018,3.318,3.226,2.214,2.302,2.512,2.569,2.662,1.859,2.417,2.042,1.923,1.453,2.291,2.89,2.726,3.068,2.754,2.661,1.72,2.183,3.005,3.156,4.316,4.223,2.898,2.934,3.683,5.7127,3.8603,5.2472,6.8406,7.339,8.7054,7.0052,6.1026,9.3485,7.5201,7.4816,10.3083,9.479625,9.7416886
Bahrain,BHR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008,0.0008,0.0083,0.0083,0.0083,0.0083,0.012,0.019,0.019,0.04,0.088,0.095
The Bahamas,BHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0.0006,0.0009,0.002,0.002,0.002,0.002,0.0021,0.005,0.006,0.007,0.011,0.019,0.019
Bosnia and Herzegovina,BIH,--,--,--,--,--,--,--,--,--,--,--,--,3.374,2.343,3.424,3.607,5.104,4.608,4.511,5.477,5.043,5.129,5.215,4.456,5.919,5.938,5.798,3.961,4.818,6.177,7.946,4.344,4.174,7.167,5.885,5.505,5.61,4.015,6.651,6.464,4.983,7.292,5.566,6.409969723
Belarus,BLR,--,--,--,--,--,--,--,--,--,--,--,--,0.017,0.019,0.019,0.02,0.016,0.021,0.028,0.019,0.027,0.03,0.028,0.028,0.034,0.037,0.038,0.05,0.073,0.111,0.139,0.148,0.202,0.297,0.288,0.326,0.42,0.782,0.8028,1.0395,1.356,1.268,1.26,1.343791673
Belize,BLZ,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.1,0.108,0.1052,0.1152,0.0932,0.0916,0.0884,0.0614,0.0634,0.0688,0.1779,0.1776,0.2046,0.1882,0.3698,0.3075,0.3449,0.3465,0.3227,0.3308,0.3631,0.3769,0.3823,0.4595,0.3914,0.3109,0.405253442,0.397860389
Bermuda,BMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0065,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.008,0.007,0.0065,0.0062,0.006,0.006,0.006,0.006,0.006,0.006,0.0065,0.0065,0.0065,0.006,0.006,0.006374008,0.006416667
Bolivia,BOL,1.115,1.166,1.215,1.198,1.215,1.183,1.165,1.164,1.296,1.285,1.272,1.408,1.378,1.404,1.381,1.315,1.492,1.605,1.548,1.827,2.007,2.162,2.235,2.021,2.184,2,2.1773,2.3441,2.352,2.354,2.24,2.412,2.411,2.641,2.368,2.657,1.92,2.411,2.9665,3.7506,3.665,4.169,4.176,4.183625655
Brazil,BRA,130.3588,131.4337,142.0099,153.061,167.9659,179.6363,183.9005,187.3778,200.5286,205.9651,208.5,219.604,226.009,237.668,245.666,256.96,269.865,283.5651,296.06441,298.4381,312.2491,276.8911,296.3721,317.5711,333.3341,351.1412,363.7652,392.6852,390.2102,414.8282,436.93,463.474,456.099,438.418,432.777,430.9927,465.8835,469.4867,497.6801,517.7376,525.085,509.5608,595.3899054,624.7583719
Barbados,BRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.0071,0.007,0.0067,0.0127,0.0166,0.0257,0.0357,0.0358,0.0457,0.068,0.0825,0.085289438,0.088078877
Brunei,BRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0.002,0.001,0.001,0.002,0.002,0.002,0.002,0.004,0.005,0.005
Bhutan,BTN,0.006,0.007,0.008,0.008,0.008,0.008,0.3,1.168,1.529,1.529,1.541,1.557,1.604,1.604,1.658,1.715,1.852,1.82,1.783,1.782,1.792,1.921,2.178,2.502,2.329,2.62,4.474,6.494,6.891,6.928,7.255,6.975,6.745,7.531,7.15,7.732,7.88,7.651,6.89,8.647,11.371,10.823,10.772,11.1655625
Botswana,BWA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.002,0.003,0.003,0.005,0.005,0.006,0.006,0.006,0.006,0.006345756,0.006
Central African Republic,CAF,0.066,0.065,0.068,0.064,0.069,0.06,0.076,0.073,0.074,0.074,0.076,0.075,0.077,0.077,0.079,0.08,0.081,0.083,0.081,0.081,0.083,0.082,0.082,0.083,0.124,0.133,0.139,0.136,0.136,0.135,0.1341,0.1463,0.1494,0.1374,0.1684,0.1684,0.1694,0.1504,0.15,0.15,0.15,0.15,0.141,0.141
Canada,CAN,252.233,264.94,257.217,265.344,285.593,302.397,309.43,315.392,305.828,290.95,297.854,309.299,317.771,325.277,332.298,338.321,358.051,354.192,336.004,350.611,363.462,338.986,356.56,344.012,347.245,367.83,359.598,374.864,384.788,379.721,365.951,391.923,398.382,417.136,411.972,417.2,428.222,436.922,429.92,423.461,431.145,429.9152,444.116,414.678990074
Switzerland,CHE,32.681,35.53,36.374,35.469,30.271,32.031,32.976,34.828,35.937,29.977,30.302,32.587,33.299,36.337,39.732,35.912,29.639,35.09557,34.648,38.745,35.614,40.136,34.224,33.871,32.95,30.8,30.645,34.708,35.656,35.279,35.817,32.674,38.912,39.084,39.07,39.425,36.419,36.4008,37.2449,40.6118,43.8195011,43.2100538,37.0505499,46.317221467
Chile,CHL,7.443,7.693,8.589,9.131,9.523,10.543,11.572,12.283,11.665,9.812,12.815,14.03,18.311,18.772,18.594,21.495,20.318,20.497,16.957,14.451,20.494,22.868,23.993,23.271,23.797,28.015,30.276,25.604,27.072,29.396,24.22,25.948,25.24,26,30.062,32.368,33.801,34.3728,37.5067,38.8138,40.4911,43.0777,50.3826983,56.3500913
China,CHN,57.618,64.845,73.656,85.536,85.932,91.476,93.555,99.198,108.009,117.216,125.14,123.86,130.202,149.219,165.74,187.87,186.575,195.447,205.005,213.716,223.246,277.869,288.432,284.358,353.807,400.464,442.506,496.042,609.103,657.592,783.577,792.498,997.593,1106.616,1287.315,1391.2888,1519.5609,1657.9417,1831.50583,2010.01433,2197.5816124,2428.1415101,2684.1509461,2919.7842169
Ivory Coast,CIV,1.345,1.726,1.731,1.067,0.369,1.344,1.179,1.216,1.227,1.25,1.309,1.242,1.038,1.087,1.162,1.766,1.764,1.86,1.363,1.736,1.746,1.782,1.712,1.814,1.838,1.5331,1.5962,1.8942,1.9972,2.1825,1.673,1.822,1.839,1.66,1.967,1.447,1.6917,2.1405,3.0004,3.5313,3.444,2.704,3.455,3.459602521
Cameroon,CMR,1.35,1.79,2.028,2.003,2.106,2.295,2.297,2.301,2.489,2.602,2.609,2.642,2.624,2.626,2.661,2.725,2.839,3.061,3.085,3.301,3.408,3.439,3.15,3.493,3.881,3.734,4.496,3.885,4.267,4.047,4.2774,4.417,4.2814,4.4023,4.4093,4.3604,4.3783,5.0934,5.0327,5.0872,5.2944,5.298,5.299643179,5.328573802
Congo-Kinshasa,COD,4.199,4.126,4.08,4.432,4.646,4.975,5.204,5.187,5.196,5.836,5.569,5.206,5.993,5.473,5.241,6.097,6.03,4.974,4.662,5.247,5.939,5.914,6.049,6.098,7.007,7.319,7.445,7.742,7.408,7.722,7.741,7.733,7.6601,8.303,8.893,8.993,9.183,9.559,10.7036,12.022,12.497,14.213,15.333,15.896
Congo-Brazzaville,COG,0.099,0.102,0.174,0.229,0.248,0.288,0.265,0.275,0.286,0.393,0.485,0.474,0.421,0.355,0.319,0.348,0.451,0.446,0.339,0.25,0.292,0.331,0.392,0.339,0.327,0.351,0.368,0.332,0.371,0.327,0.426,0.7831,0.9771,0.9613,0.9423,1.088,1.117,1.192,1.047,1.047,1.047,1.0472,1.0472,1.064
Cook Islands,COK,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0008,0.0014,0.0035,0.0047,0.007,0.016,0.015,0.013,0.0159,0.0159,0.0159
