Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bangladesh,BGD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.0008,0.0014,0.0025,0.004,0.0066,0.0111,0.0183,0.0323,0.0427,0.0662,0.0941,0.1201,0.147,0.1638,0.1957,0.2176,0.2687,0.343266,0.505717,0.522856,0.748
Bulgaria,BGR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0.0001,0.002,0.025,0.154,0.922,1.0385,1.0289,1.0279,1.0299,1.0307,1.0331,1.0444,1.1002,1.274713,1.737,2.937
Bahrain,BHR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0.0005,0.005,0.005,0.006,0.006,0.0063,0.0093,0.0098,0.021,0.046,0.057
The Bahamas,BHS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.0001,0.0001,0.0002,0.0003,0.0004,0.0006,0.0006,0.0013,0.0013,0.0014,0.0014,0.0014,0.0022,0.0022,0.009,0.014,0.014
Bosnia and Herzegovina,BIH,--,--,--,--,--,--,--,--,--,--,--,--,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.0001,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0013,0.0072,0.0082,0.0141,0.016,0.0182,0.0224,0.0349,0.05651,0.107465,0.132
Belarus,BLR,--,--,--,--,--,--,--,--,--,--,--,--,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.006,0.047,0.08,0.154,0.154,0.16,0.16,0.269,0.273
Belize,BLZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0.0005,0.0005,0.0005,0.0008,0.0066,0.0066,0.00655,0.00655,0.007
Bermuda,BMU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,BOL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0003,0.0004,0.0005,0.0007,0.0008,0.0008,0.0011,0.0014,0.0024,0.0028,0.003,0.0034,0.0041,0.0055,0.0055,0.0055,0.0055,0.0075,0.0699,0.1203,0.1203,0.17033,0.171,0.172
Brazil,BRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.0007,0.0007,0.0007,0.0007,0.0007,0.0008,0.0008,0.0009,0.0061,0.0066,0.0125,0.0207,0.0456,0.1278,1.2068,2.435,4.6349,8.451895,14.499,25.52,37.449
Barbados,BRB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0006,0.0006,0.0008,0.001,0.0013,0.0015,0.0004,0.0013,0.0031,0.0149,0.0164,0.0172,0.0332,0.0492,0.063926,0.068884,0.069
Brunei,BRN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0014,0.00487,0.004898,0.005
Bhutan,BTN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.0001,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.000455,0.000455,0.001
Botswana,BWA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.001,0.002,0.002,0.002,0.003,0.003,0.004,0.0059,0.0059,0.006269,0.006269,0.006269
Central African Republic,CAF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0.0001,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.000339,0.000337,0.000334,0.025
Canada,CAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007,0.009,0.01,0.012,0.014,0.018,0.022,0.029,0.038,0.107,0.249,0.628,0.766,1.21,1.843,2.519,2.665,2.932,3.095,3.327,4.379,5.261,5.439,5.884
Switzerland,CHE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016,0.018,0.02,0.022,0.024,0.028,0.03,0.037,0.049,0.079,0.125,0.223,0.437,0.756,1.061,1.394,1.664,1.906,2.173,2.498,2.9734,3.655,4.34,5.84
Chile,CHL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.015,0.221,0.576,1.125,1.809,2.137,2.6537,3.302413,4.624,6.687,8.898
China,CHN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0335,0.038,0.0565,0.0666,0.0766,0.1412,0.1602,0.199,0.253,0.4148,1.0218,3.1078,6.7188,17.7588,28.3988,43.5488,77.8188,130.8323,175.2619,204.9708,253.9638,306.9728,393.032,609.921
Ivory Coast,CIV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0004,0.0011,0.0014,0.0016,0.0017,0.002,0.0029,0.0038,0.0051,0.0051,0.0083,0.0131,0.0131,0.006402,0.007749,0.008999,0.046
Cameroon,CMR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.001,0.001,0.002,0.003,0.004,0.006,0.0074,0.009,0.0116,0.0142,0.0142,0.0143,0.026,0.026,0.062
Congo-Kinshasa,COD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0004,0.0006,0.0007,0.0032,0.0052,0.0199,0.0199,0.0199,0.019927,0.022,0.022
Congo-Brazzaville,COG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0.0002,0.0005,0.0005,0.0005,0.0006,0.0007,0.0007,0.0007,0.00072,0.00072,0.00072
Cook Islands,COK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0007,0.0017,0.0029,0.003,0.003,0.0048,0.0056,0.0056,0.00557,0.00557,0.00557
Colombia,COL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0006,0.001,0.001,0.0011,0.0011,0.0011,0.0012,0.0012,0.0012,0.0013,0.0013,0.0013,0.0013,0.0014,0.0014,0.0015,0.0015,0.0113,0.0134,0.0259,0.082718,0.180975,0.48,0.716
Comoros,COM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0,0.004,0.004
Cabo Verde,CPV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0.008,0.008,0.008,0.0057,0.0058,0.0061,0.0062,0.0062,0.0075,0.0076,0.01488,0.017,0.023,0.026
