Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Belgium,BEL,0.073,0.08,0.086,0.086,0.086,0.087,0.089,0.09,0.093,0.095,0.094,0.094,0.094,0.095,0.095,0.096,0.096,0.096,0.097,0.103,0.2325,0.2775,0.3,0.4075,0.458,0.7885,0.879,0.9885,1.1935,2.011,3.0521,4.1976,5.119,5.7541,5.982,6.3681,6.6951,7.4193,8.2996,9.5107,11.2731,11.8884,13.052,15.047
Benin,BEN,0,0,0,0,0,0,0,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.034,0.034,0.034,0.034,0.0342,0.0359,0.0359,0.0359,0.0359,0.037847,0.039016,0.066,0.066
Burkina Faso,BFA,0,0,0,0,0,0,0,0,0,0,0.01,0.014,0.014,0.03,0.03,0.03,0.032,0.032,0.032,0.032,0.0325,0.0325,0.0325,0.0327,0.0331,0.033,0.033,0.034,0.034,0.035,0.036,0.038,0.038,0.0381,0.0399,0.0409,0.0429,0.0797,0.0947,0.0978,0.0978,0.097787,0.1224,0.215
Bangladesh,BGD,0.08,0.13,0.13,0.13,0.13,0.129,0.177,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.2308,0.2314,0.2334,0.2349,0.2375,0.243,0.2509,0.2656,0.2667,0.2909,0.3294,0.3561,0.3846,0.4018,0.4337,0.4556,0.5067,0.581566,0.783617,0.800756,1.0259
Bulgaria,BGR,1.895,1.895,1.895,1.975,1.975,1.975,1.975,1.975,1.975,1.973,1.973,1.401,1.401,1.401,1.401,1.401,1.401,1.803,1.803,1.803,1.068,0.893,1.136,1.658,1.992,1.999,2.017,2.048,2.2401,2.481,2.707,2.95,3.93,4.0945,4.1229,4.1359,4.1449,4.2887,4.3164,4.3187,4.3636,4.382642,4.848375,6.215
Bahrain,BHR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007,0.0007,0.0007,0.0007,0.0012,0.0012,0.0057,0.0057,0.0067,0.0067,0.007,0.01,0.0105,0.02168,0.049,0.06
The Bahamas,BHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0.0002,0.0003,0.0004,0.0006,0.0006,0.0013,0.0013,0.0014,0.0014,0.0014,0.0022,0.0022,0.01,0.015,0.015
Bosnia and Herzegovina,BIH,--,--,--,--,--,--,--,--,--,--,--,--,1.2,1.2,1.139,1.219,1.219,1.219,1.624,1.983,1.508,1.508,1.508,1.5081,1.5382,1.5383,1.5383,1.5383,1.5689,1.5689,1.6986,1.7006,1.7015,1.7034,1.7186,1.7254,1.7756,1.8083,1.886,1.9304,1.9528,2.03836,2.043465,2.116
Belarus,BLR,--,--,--,--,--,--,--,--,--,--,--,--,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.0115,0.012,0.0133,0.0133,0.0136,0.0179,0.0165,0.0202,0.0288,0.0292,0.0297,0.0351,0.0554,0.0743,0.081,0.0967,0.2222,0.3001,0.3898,0.4147,0.4905,0.4881,0.6242,0.632
Belize,BLZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0252,0.0252,0.0252,0.025,0.0252,0.0331,0.0331,0.0331,0.0331,0.0331,0.0404,0.0404,0.044,0.044,0.0655,0.0655,0.0655,0.0655,0.0655,0.066,0.066,0.066,0.074,0.0935,0.099,0.099,0.09902,0.09902,0.09947
Bermuda,BMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,BOL,0.283,0.283,0.301,0.295,0.295,0.295,0.295,0.301,0.306,0.306,0.309,0.309,0.308,0.308,0.3064,0.306,0.307,0.3306,0.3603,0.4,0.3809,0.3966,0.4812,0.4644,0.5136,0.521,0.5436,0.58,0.5764,0.5841,0.5845,0.5899,0.5906,0.592,0.628,0.6376,0.6685,0.7958,0.9226,1.0566,1.0677,1.17677,1.23004,1.299
Brazil,BRA,27.5,31.021,33.002,34.028,34.923,37.077,37.786,40.329,42.228,44.796,45.558,46.616,47.709,48.6,49.928,51.311,53.428,54.97,56.759,58.997,63.7421,65.0944,67.165,70.4181,72.2359,74.4289,77.6167,81.2197,82.9978,84.9298,89.5579,92.9174,96.1169,99.8349,106.4451,112.6408,121.3745,128.4175,136.5791,144.5744,150.654495,161.43783,176.721302,194.084
Barbados,BRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0006,0.0006,0.0008,0.001,0.0013,0.0015,0.0004,0.0013,0.0031,0.015,0.0165,0.0173,0.0333,0.0493,0.063986,0.070044,0.07016
Brunei,BRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0014,0.00487,0.004898,0.005
Bhutan,BTN,0.003,0.003,0.003,0.003,0.003,0.003,0.171,0.258,0.342,0.342,0.349,0.35,0.35,0.35,0.35,0.342,0.342,0.342,0.342,0.3445,0.3444,0.3595,0.4136,0.4286,0.4286,0.4687,0.4684,1.4885,1.4885,1.4884,1.4884,1.4884,1.4884,1.4884,1.4884,1.615,1.615,1.615,1.6152,2.3352,2.3352,2.33539,2.33539,2.3356
Botswana,BWA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.001,0.002,0.002,0.002,0.003,0.003,0.004,0.0059,0.0059,0.006269,0.006269,0.006269
